video_id,comment,likes,published_at,group_comeback,is_english,cleaned_comment,processed_comment
jWQx2f-CErU,Whi whiplash,3,2026-02-27T10:56:22Z,aespa_Whiplash,True,whi whiplash,whi whiplash
jWQx2f-CErU,BLACK PINK GOOO!! 🖤🩷,1,2026-02-27T10:35:48Z,aespa_Whiplash,True,black pink gooo,black pink gooo
jWQx2f-CErU,Blackpink can't relate HAHAHA,5,2026-02-27T10:20:15Z,aespa_Whiplash,True,blackpink cant relate hahaha,blackpink cant relat hahaha
jWQx2f-CErU,this is the blueprint,11,2026-02-27T10:14:01Z,aespa_Whiplash,True,this is the blueprint,blueprint
jWQx2f-CErU,"it's like they broke off from their formula, but also, it feels like them...LET'S GO",5,2026-02-27T07:33:50Z,aespa_Whiplash,True,its like they broke off from their formula but also it feels like themlets go,like broke formula also feel like themlet
jWQx2f-CErU,"02:30 “One look, give ’em whiplash” 😮‍🔥
Yeah… that’s the moment Giselle OWNED the whole track.",0,2026-02-27T02:39:05Z,aespa_Whiplash,True,one look give em whiplash yeah thats the moment giselle owned the whole track,one look give whiplash yeah that moment gisel own whole track
jWQx2f-CErU,"today aespa my!

2026년 2월 27일 (금)
💽 14:00 [단체] 콜라보 음원 'Keychain' 발매
......",4,2026-02-27T02:26:47Z,aespa_Whiplash,True,today aespa my keychain,today aespa keychain
jWQx2f-CErU,this cVnty song y'all! can't stop listening to it!,3,2026-02-26T22:10:37Z,aespa_Whiplash,True,this cvnty song yall cant stop listening to it,cvnti song yall cant stop listen
jWQx2f-CErU,"2:33 this part does things to me, I like start floating",3,2026-02-26T19:34:13Z,aespa_Whiplash,True,this part does things to me i like start floating,part thing like start float
jWQx2f-CErU,Whiplash,3,2026-02-26T19:08:01Z,aespa_Whiplash,True,whiplash,whiplash
jWQx2f-CErU,"Pls support aespa's younger sisters, Hearts2Hearts.",0,2026-02-26T19:02:28Z,aespa_Whiplash,True,pls support aespas younger sisters heartshearts,pl support aespa younger sister heartsheart
jWQx2f-CErU,Who here a year later ?,5,2026-02-26T18:39:48Z,aespa_Whiplash,True,who here a year later,year later
jWQx2f-CErU,Still the best aespa song,7,2026-02-26T15:47:21Z,aespa_Whiplash,True,still the best aespa song,still best aespa song
jWQx2f-CErU,Winter standout most❤,0,2026-02-26T10:39:29Z,aespa_Whiplash,True,winter standout most,winter standout
jWQx2f-CErU,Whiplash is a MASTERPIECE,1,2026-02-26T08:44:19Z,aespa_Whiplash,True,whiplash is a masterpiece,whiplash masterpiec
jWQx2f-CErU,"Why it's similar to Bodyrox - Yeah Yeah, especially the intro... 😅😅😂😂",0,2026-02-26T04:57:25Z,aespa_Whiplash,True,why its similar to bodyrox yeah yeah especially the intro,similar bodyrox yeah yeah especi intro
jWQx2f-CErU,clock it,0,2026-02-26T02:14:18Z,aespa_Whiplash,True,clock it,clock
jWQx2f-CErU,im new here i barily of them i love them already,2,2026-02-25T23:05:53Z,aespa_Whiplash,True,im new here i barily of them i love them already,new barili love alreadi
jWQx2f-CErU,coming back for this masterpiece every single day,2,2026-02-25T15:01:45Z,aespa_Whiplash,True,coming back for this masterpiece every single day,come back masterpiec everi singl day
jWQx2f-CErU,The banggerrr❤,0,2026-02-25T05:38:37Z,aespa_Whiplash,True,the banggerrr,banggerrr
jWQx2f-CErU,i think the director of this clip wanted to do something and went awfully in other way... is this art?? they go to film school to shot this kind of rubbish???  what a waste of money....,0,2026-02-25T03:23:33Z,aespa_Whiplash,True,i think the director of this clip wanted to do something and went awfully in other way is this art they go to film school to shot this kind of rubbish what a waste of money,think director clip want someth went aw way art film school shot kind rubbish wast money
jWQx2f-CErU,Whip Flash,0,2026-02-24T18:17:06Z,aespa_Whiplash,True,whip flash,whip flash
jWQx2f-CErU,and when they give us whiplash 2.0 for the cb? I'll be eating that up!,2,2026-02-24T15:08:13Z,aespa_Whiplash,True,and when they give us whiplash for the cb ill be eating that up,give whiplash ill eat
jWQx2f-CErU,whiplash is a timeless hit actually,3,2026-02-24T15:07:38Z,aespa_Whiplash,True,whiplash is a timeless hit actually,whiplash timeless hit actual
jWQx2f-CErU,Go to 270m,0,2026-02-23T23:42:15Z,aespa_Whiplash,True,go to m,
jWQx2f-CErU,this should be runway music but with the instrumental instead-,0,2026-02-23T22:46:42Z,aespa_Whiplash,True,this should be runway music but with the instrumental instead,runway music instrument instead
jWQx2f-CErU,This song gives me chills. ❤,0,2026-02-23T21:05:50Z,aespa_Whiplash,True,this song gives me chills,song give chill
jWQx2f-CErU,Nothing can outdo Whiplash by its quality & uniqueness. The bar has been raised endlessly above the universe fr!!,6,2026-02-23T16:29:49Z,aespa_Whiplash,True,nothing can outdo whiplash by its quality uniqueness the bar has been raised endlessly above the universe fr,noth outdo whiplash qualiti uniqu bar rais endlessli univers
jWQx2f-CErU,"I barely know Aespa but I'm OBSESSED with the way this song sounds, it's so unique I love the techno vibe.",3,2026-02-23T14:03:57Z,aespa_Whiplash,True,i barely know aespa but im obsessed with the way this song sounds its so unique i love the techno vibe,bare know aespa obsess way song sound uniqu love techno vibe
jWQx2f-CErU,"In Fortnite, in my playlist, what's next a concert?  🙏🙏🙏😁😊",3,2026-02-23T07:34:33Z,aespa_Whiplash,True,in fortnite in my playlist whats next a concert,fortnit playlist what next concert
jWQx2f-CErU,the worst part is when the song end..,0,2026-02-22T15:10:33Z,aespa_Whiplash,True,the worst part is when the song end,worst part song end
jWQx2f-CErU,300M before 2nd full album,6,2026-02-22T09:53:14Z,aespa_Whiplash,True,m before nd full album,full album
jWQx2f-CErU,Move fast,2,2026-02-22T08:33:31Z,aespa_Whiplash,True,move fast,move fast
jWQx2f-CErU,i love this video and music my4ever!,3,2026-02-22T05:46:37Z,aespa_Whiplash,True,i love this video and music myever,love video music myever
jWQx2f-CErU,I can’t end to emphasize that even though Yeri was the least vocally powerful member her very characteristic voice really rounded up the Red Velvet voice harmony.,0,2026-02-22T03:45:52Z,aespa_Whiplash,True,i cant end to emphasize that even though yeri was the least vocally powerful member her very characteristic voice really rounded up the red velvet voice harmony,cant end emphas even though yeri least vocal power member characterist voic realli round red velvet voic harmoni
jWQx2f-CErU,"@aespa +57 MILLION views today
keep streaming my
🎉🎉🎉🎉
🌌🦾
...",3,2026-02-22T02:21:28Z,aespa_Whiplash,True,million views today keep streaming my,million view today keep stream
jWQx2f-CErU,"YouTube Weekly Top Artists   Feb 19, 2026
#6 (=)   aespa",0,2026-02-22T02:09:53Z,aespa_Whiplash,True,youtube weekly top artists feb aespa,youtub weekli top artist feb aespa
jWQx2f-CErU,"They all look so beautiful, I want to know every detail about each one of them.🤗🤭😍😬😇🤕",1,2026-02-22T00:26:43Z,aespa_Whiplash,True,they all look so beautiful i want to know every detail about each one of them,look beauti want know everi detail one
jWQx2f-CErU,we need a mashup of aespa's Whiplash & hearts2hearts's Rude!  a *Rude Whiplash!*,0,2026-02-21T16:29:19Z,aespa_Whiplash,True,we need a mashup of aespas whiplash heartsheartss rude a rude whiplash,need mashup aespa whiplash heartsheartss rude rude whiplash
jWQx2f-CErU,whip whiplash,0,2026-02-21T12:43:49Z,aespa_Whiplash,True,whip whiplash,whip whiplash
jWQx2f-CErU,When will you girls comeback,0,2026-02-21T09:06:20Z,aespa_Whiplash,True,when will you girls comeback,girl comeback
jWQx2f-CErU,HAPPY 266M AESPA WHIPLASH,0,2026-02-21T08:42:40Z,aespa_Whiplash,True,happy m aespa whiplash,happi aespa whiplash
jWQx2f-CErU,2.4M LIKES AESPA WHIPLASH,0,2026-02-21T08:42:26Z,aespa_Whiplash,True,m likes aespa whiplash,like aespa whiplash
jWQx2f-CErU,love wiplash,1,2026-02-21T06:17:30Z,aespa_Whiplash,True,love wiplash,love wiplash
jWQx2f-CErU,aespa fighting!!!,0,2026-02-21T05:37:27Z,aespa_Whiplash,True,aespa fighting,aespa fight
jWQx2f-CErU,It got copied 😂,1,2026-02-21T04:38:05Z,aespa_Whiplash,True,it got copied,got copi
jWQx2f-CErU,Who still listen to Whiplash til now 2026?,1,2026-02-21T03:00:48Z,aespa_Whiplash,True,who still listen to whiplash til now,still listen whiplash til
jWQx2f-CErU,aespa was named the most powerful kpop group of 2025 @Forbes,7,2026-02-21T02:00:56Z,aespa_Whiplash,True,aespa was named the most powerful kpop group of,aespa name power kpop group
jWQx2f-CErU,Only newer song I’ve come back for repeat listens by Aespa. It’s catchy and highlights their vocals/vocal strains in the best way here,3,2026-02-21T01:34:32Z,aespa_Whiplash,True,only newer song ive come back for repeat listens by aespa its catchy and highlights their vocalsvocal strains in the best way here,newer song ive come back repeat listen aespa catchi highlight vocalsvoc strain best way
jWQx2f-CErU,2024 was aespa's year! AN UNSTOPPABLE FORCE!,1,2026-02-21T00:59:45Z,aespa_Whiplash,True,was aespas year an unstoppable force,aespa year unstopp forc
jWQx2f-CErU,"Go 270M
Happy 266",3,2026-02-20T18:49:07Z,aespa_Whiplash,True,go m happy,happi
jWQx2f-CErU,One look give em whiplash,1,2026-02-20T18:20:51Z,aespa_Whiplash,True,one look give em whiplash,one look give whiplash
jWQx2f-CErU,who are the visual ?? 😭🥰,0,2026-02-20T16:57:14Z,aespa_Whiplash,True,who are the visual,visual
jWQx2f-CErU,The bangger🎉,1,2026-02-20T10:28:39Z,aespa_Whiplash,True,the bangger,bangger
jWQx2f-CErU,Why does this remind me of Metallica even though it's very different?,0,2026-02-20T06:59:55Z,aespa_Whiplash,True,why does this remind me of metallica even though its very different,remind metallica even though differ
jWQx2f-CErU,"Circle Digital Chart   2026  Weeks 07
#22 (+1)   Whiplash",0,2026-02-20T03:18:56Z,aespa_Whiplash,True,circle digital chart weeks whiplash,circl digit chart week whiplash
jWQx2f-CErU,"I smiled when I heard the beat
I cried when I heard the lyrics

Thanks SB19 for making me feel human.",0,2026-02-19T21:48:11Z,aespa_Whiplash,True,i smiled when i heard the beat i cried when i heard the lyrics thanks sb for making me feel human,smile heard beat cri heard lyric thank make feel human
jWQx2f-CErU,It's here !  266M.,0,2026-02-19T18:44:09Z,aespa_Whiplash,True,its here m,
jWQx2f-CErU,Whiplash❤,2,2026-02-19T16:20:59Z,aespa_Whiplash,True,whiplash,whiplash
jWQx2f-CErU,this gave me a throwback to that protests and the martial law crisis in sk..,0,2026-02-19T16:09:15Z,aespa_Whiplash,True,this gave me a throwback to that protests and the martial law crisis in sk,gave throwback protest martial law crisi
jWQx2f-CErU,"@aespa 25 BILLION CirclePoints
+stream audio
my aespa go
🌌🦾.",5,2026-02-19T15:17:56Z,aespa_Whiplash,True,billion circlepoints stream audio my aespa go,billion circlepoint stream audio aespa
